dataset,algorithm,Precision@1_mean,Precision@1_std,Precision@1_cv,Precision@5_mean,Precision@5_std,Precision@5_cv,Precision@10_mean,Precision@10_std,Precision@10_cv,nDCG@1_mean,nDCG@1_std,nDCG@1_cv,nDCG@5_mean,nDCG@5_std,nDCG@5_cv,nDCG@10_mean,nDCG@10_std,nDCG@10_cv
amazon_videogames,ALS,0.027325939131943894,0.0008260785284113014,0.030230563144511273,0.018225707208557502,0.00014113232056102478,0.007743585417347154,0.014282378555764164,8.566689874606679e-05,0.0059980834712921715,0.027325939131943894,0.0008260785284113014,0.030230563144511273,0.04799119504526336,0.0006437993055453346,0.01341494632376062,0.060668008461312574,0.0005958785621074918,0.00982195686359934
amazon_videogames,ItemKNN,0.00022087941561617467,2.494578719978841e-05,0.11293848786315636,0.00014956691857438118,1.3124424115668522e-05,0.08774951199614112,0.00014199391003896945,1.6808352202217094e-05,0.11837375418145844,0.00022087941561617467,2.494578719978841e-05,0.11293848786315636,0.000402764743399338,3.667706044928716e-05,0.0910632349289872,0.0005838371179937762,5.823063048376255e-05,0.09973780133037602
amazon_videogames,Pop,0.005919568338513482,0.00021296164620036257,0.035975874256709964,0.004613224366154963,0.00014737873118226348,0.03194701134926609,0.00396383888424341,8.639025408327167e-05,0.021794592718356976,0.005919568338513482,0.00021296164620036257,0.035975874256709964,0.011919978100833943,0.0002825440631963758,0.02370340455378928,0.016120187019473813,0.00029753888895330417,0.018457533314834722
lastfm,ALS,0.10733944954128441,0.011161032165684806,0.10397884667176442,0.08425688073394497,0.0035184413226547594,0.04175850437384241,0.06968807339449543,0.00179380673826866,0.025740512700274342,0.10733944954128441,0.011161032165684806,0.10397884667176442,0.10988613320371474,0.006625833390745526,0.060297265883968124,0.11643934442553112,0.005563507528378596,0.047780306182819
lastfm,ItemKNN,0.0012844036697247708,0.0008205754045870788,0.6388765649999398,0.00455045871559633,0.0007934586535941153,0.17436893798741648,0.0035412844036697257,0.000630963261066033,0.1781735633580248,0.0012844036697247708,0.0008205754045870788,0.6388765649999398,0.003949763265979715,0.0006531867290787935,0.16537364016341227,0.004090803189272722,0.0006554151815578768,0.16021674747799317
lastfm,Pop,0.0381651376146789,0.0035885517826803573,0.0940269577673459,0.03757798165137615,0.0014758956001607497,0.03927554209412151,0.033339449541284406,0.0008620924741896179,0.025858029633095306,0.0381651376146789,0.0035885517826803573,0.0940269577673459,0.0464974587337191,0.001922948944714585,0.041356000888713045,0.053031267763963955,0.00234619377667954,0.04424170636693389
ml100k,ALS,0.1976545842217484,0.011221916730866316,0.0567753931691079,0.1592324093816631,0.0024515620216298134,0.015396124640390767,0.13974413646055436,0.0017328603644587574,0.012400236663581893,0.1976545842217484,0.011221916730866316,0.0567753931691079,0.1860768752969136,0.005602933691408624,0.030110854357739518,0.20172448809284993,0.0061550732484315016,0.030512275959269947
ml100k,ItemKNN,0.07313432835820896,0.00903356936644557,0.12352023419425574,0.027931769722814498,0.0008661021753343247,0.031007780170366286,0.03398720682302772,0.0014913946280693837,0.0438810590065584,0.07313432835820896,0.00903356936644557,0.12352023419425574,0.037280120542883724,0.002725725047929844,0.07311470586031,0.04339275789105183,0.0025550430739528715,0.05888178576636992
ml100k,Pop,0.1955223880597015,0.009373178951101608,0.04793915952090135,0.13377398720682304,0.0035087424188868553,0.026228884196014265,0.10995735607675905,0.0023400792166650224,0.021281697743181997,0.1955223880597015,0.009373178951101608,0.04793915952090135,0.15237129105782724,0.004931264473755242,0.03236347503207643,0.1480919060549968,0.003104381108815952,0.020962530576539948
