dataset,algorithm,seed,timestamp,Precision@1,nDCG@1,Precision@5,nDCG@5,Precision@10,nDCG@10
ml100k,ALS,1,2026-07-16T10:43:35.520202,0.1886993603411514,0.1886993603411514,0.15884861407249468,0.18493947617258563,0.13923240938166312,0.19963252665352527
ml100k,ItemKNN,1,2026-07-16T10:43:44.565983,0.08528784648187633,0.08528784648187633,0.028997867803837955,0.04060501998597402,0.03390191897654584,0.045864749783415294
ml100k,Pop,1,2026-07-16T10:43:47.103039,0.1929637526652452,0.1929637526652452,0.13539445628997868,0.15461743120946198,0.10852878464818763,0.1482522993592689
ml100k,ALS,7,2026-07-16T10:43:50.205276,0.18763326226012794,0.18763326226012794,0.15650319829424306,0.18021764519098546,0.13699360341151387,0.1948918135102409
ml100k,ItemKNN,7,2026-07-16T10:43:54.270563,0.0767590618336887,0.0767590618336887,0.02857142857142857,0.03815380564553056,0.03294243070362474,0.04310465201432379
ml100k,Pop,7,2026-07-16T10:43:56.836590,0.19616204690831557,0.19616204690831557,0.13219616204690832,0.14985724170316692,0.11194029850746269,0.1477327786308285
ml100k,ALS,21,2026-07-16T10:43:59.902245,0.19616204690831557,0.19616204690831557,0.15756929637526654,0.1832069793902019,0.141044776119403,0.20027827321490643
ml100k,ItemKNN,21,2026-07-16T10:44:03.991997,0.06183368869936034,0.06183368869936034,0.027078891257995733,0.033972090747512285,0.034434968017057574,0.0409417318790343
ml100k,Pop,21,2026-07-16T10:44:06.535884,0.1812366737739872,0.1812366737739872,0.12835820895522387,0.14489400404589525,0.10842217484008529,0.1439462458139861
ml100k,ALS,42,2026-07-16T10:44:09.644324,0.21535181236673773,0.21535181236673773,0.1626865671641791,0.19507441811806717,0.1412579957356077,0.21163268553028955
ml100k,ItemKNN,42,2026-07-16T10:44:13.653047,0.06716417910447761,0.06716417910447761,0.027078891257995737,0.0350237080024475,0.03240938166311301,0.04089231753177633
ml100k,Pop,42,2026-07-16T10:44:16.153963,0.20149253731343283,0.20149253731343283,0.1368869936034115,0.15624802674463223,0.10788912579957358,0.1478381343835468
ml100k,ALS,84,2026-07-16T10:44:19.214756,0.20042643923240938,0.20042643923240938,0.16055437100213218,0.18694585761272792,0.14019189765458423,0.20218714155528755
ml100k,ItemKNN,84,2026-07-16T10:44:23.350679,0.07462686567164178,0.07462686567164178,0.0279317697228145,0.03864597833295427,0.03624733475479744,0.04616033824670943
ml100k,Pop,84,2026-07-16T10:44:25.835268,0.20575692963752665,0.20575692963752665,0.13603411513859273,0.1562397515859798,0.11300639658848614,0.15269007208735372
