seed,nDCG@10,Precision@10
1,0.20496973647343258,0.15255863539445633
2,0.2039066272603633,0.1486140724946695
3,0.20104983611641603,0.15053304904051173
mean,0.20330873328340396,0.15056858564321254
std,0.002027193283334822,0.0019725215474595643
