ndcg@1,ndcg@5,ndcg@10,precision@1,precision@5,precision@10,fit_time,seed,algorithm,dataset
0.2074468085106383,0.12438509975294963,0.1313388006126148,0.2074468085106383,0.10425531914893618,0.12446808510638298,5.064345359802246,11,ALS,MovieLens100K
0.2074468085106383,0.12438509975294963,0.1313388006126148,0.2074468085106383,0.10425531914893618,0.12446808510638298,9.613323450088501,11,ItemKNN,MovieLens100K
0.5212765957446809,0.43314041269498343,0.39830351278993814,0.5212765957446809,0.4138297872340426,0.37021276595744684,0.08367490768432617,11,Pop,MovieLens100K
0.14361702127659576,0.10002077781102806,0.11198858736780615,0.14361702127659576,0.08936170212765958,0.1122340425531915,0.3896472454071045,22,ALS,MovieLens100K
0.14361702127659576,0.10002077781102806,0.11198858736780615,0.14361702127659576,0.08936170212765958,0.1122340425531915,0.46157217025756836,22,ItemKNN,MovieLens100K
0.5319148936170213,0.41577227069791617,0.37831605531861495,0.5319148936170213,0.3861702127659575,0.3462765957446809,0.0833585262298584,22,Pop,MovieLens100K
0.1595744680851064,0.09823949167116969,0.10337985715276583,0.1595744680851064,0.08936170212765956,0.1021276595744681,0.3753166198730469,33,ALS,MovieLens100K
0.1595744680851064,0.09823949167116969,0.10337985715276583,0.1595744680851064,0.08936170212765956,0.1021276595744681,0.29965806007385254,33,ItemKNN,MovieLens100K
0.5212765957446809,0.4267880883411979,0.3898677029295396,0.5212765957446809,0.39574468085106385,0.35638297872340424,0.09402346611022949,33,Pop,MovieLens100K
0.026595744680851064,0.02495629292125368,0.08226313986208081,0.026595744680851064,0.02553191489361702,0.10585106382978722,0.3961653709411621,44,ALS,MovieLens100K
0.026595744680851064,0.02495629292125368,0.08226313986208081,0.026595744680851064,0.02553191489361702,0.10585106382978722,0.31746459007263184,44,ItemKNN,MovieLens100K
0.5638297872340425,0.45176015916436074,0.41616236551814156,0.5638297872340425,0.426595744680851,0.3840425531914894,0.08873677253723145,44,Pop,MovieLens100K
0.19148936170212766,0.11625110715447723,0.12237005211796238,0.19148936170212766,0.10425531914893618,0.12234042553191489,0.3790469169616699,55,ALS,MovieLens100K
0.19148936170212766,0.11625110715447723,0.12237005211796238,0.19148936170212766,0.10425531914893618,0.12234042553191489,0.31200408935546875,55,ItemKNN,MovieLens100K
0.5212765957446809,0.4205613245897599,0.38713296464417096,0.5212765957446809,0.39574468085106385,0.3585106382978724,0.0899198055267334,55,Pop,MovieLens100K
0.0,0.0,0.0,0.0,0.0,0.0,21.894238233566284,11,ALS,AmazonVideoGames
0.0,0.0,0.0,0.0,0.0,0.0,21.328087091445923,11,ItemKNN,AmazonVideoGames
0.02654320987654321,0.01892229538316583,0.020017974841259563,0.02654320987654321,0.016625514403292182,0.015000000000000001,3.5091874599456787,11,Pop,AmazonVideoGames
0.0,0.0,0.0,0.0,0.0,0.0,24.135570764541626,22,ALS,AmazonVideoGames
0.0,0.0,0.0,0.0,0.0,0.0,21.0866596698761,22,ItemKNN,AmazonVideoGames
0.03229788109442502,0.02204910111688677,0.023112411606874095,0.03229788109442502,0.019131865871219914,0.016457519029006377,3.5520544052124023,22,Pop,AmazonVideoGames
0.0,0.0,0.0,0.0,0.0,0.0,21.279828786849976,33,ALS,AmazonVideoGames
0.0,0.0,0.0,0.0,0.0,0.0,20.461907386779785,33,ItemKNN,AmazonVideoGames
0.02880065830076116,0.02070410451656369,0.021980330957092818,0.02880065830076116,0.018308989919769595,0.01592264966056367,3.319352388381958,33,Pop,AmazonVideoGames
0.0,0.0,0.0,0.0,0.0,0.0,22.791316747665405,44,ALS,AmazonVideoGames
