dataset,algorithm,seed,metric,value
amazon_videogames,ItemKNN,1,nDCG@5,0.0010598396569703565
amazon_videogames,ItemKNN,1,Precision@10,0.00057270877049051
amazon_videogames,ItemKNN,1,nDCG@10,0.0016661423122621996
amazon_videogames,Pop,1,Precision@1,0.00858274300679993
amazon_videogames,Pop,1,nDCG@1,0.00858274300679993
amazon_videogames,Pop,1,Precision@5,0.006730511335847152
amazon_videogames,Pop,1,nDCG@5,0.013440493769551514
amazon_videogames,Pop,1,Precision@10,0.00588012558572488
amazon_videogames,Pop,1,nDCG@10,0.018305989251848776
amazon_videogames,ALS,7,Precision@1,0.037392909547025135
amazon_videogames,ALS,7,nDCG@1,0.037392909547025135
amazon_videogames,ALS,7,Precision@5,0.02522206970543223
amazon_videogames,ALS,7,nDCG@5,0.05166030495349865
amazon_videogames,ALS,7,Precision@10,0.019804042220854832
amazon_videogames,ALS,7,nDCG@10,0.06527434417844105
amazon_videogames,ItemKNN,7,Precision@1,0.0005995487606696013
amazon_videogames,ItemKNN,7,nDCG@1,0.0005995487606696013
amazon_videogames,ItemKNN,7,Precision@5,0.0005743046023256181
amazon_videogames,ItemKNN,7,nDCG@5,0.0011393810427680023
amazon_videogames,ItemKNN,7,Precision@10,0.0005348606049131444
amazon_videogames,ItemKNN,7,nDCG@10,0.0016501781810488365
amazon_videogames,Pop,7,Precision@1,0.008551458639024314
amazon_videogames,Pop,7,nDCG@1,0.008551458639024314
amazon_videogames,Pop,7,Precision@5,0.006784367554945489
amazon_videogames,Pop,7,nDCG@5,0.013316115521651732
amazon_videogames,Pop,7,Precision@10,0.005842444896735615
amazon_videogames,Pop,7,nDCG@10,0.01811878440076374
amazon_videogames,ALS,21,Precision@1,0.03695171978542127
amazon_videogames,ALS,21,nDCG@1,0.03695171978542127
amazon_videogames,ALS,21,Precision@5,0.025506468917639635
amazon_videogames,ALS,21,nDCG@5,0.051442749762753474
amazon_videogames,ALS,21,Precision@10,0.019930577469233202
amazon_videogames,ALS,21,nDCG@10,0.06498297766645275
amazon_videogames,ItemKNN,21,Precision@1,0.0003313348059324708
amazon_videogames,ItemKNN,21,nDCG@1,0.0003313348059324708
amazon_videogames,ItemKNN,21,Precision@5,0.0004985799936888609
amazon_videogames,ItemKNN,21,nDCG@5,0.000858830446691782
amazon_videogames,ItemKNN,21,Precision@10,0.0005380246134427264
amazon_videogames,ItemKNN,21,nDCG@10,0.001442731029207385
amazon_videogames,Pop,21,Precision@1,0.008567371410539603
amazon_videogames,Pop,21,nDCG@1,0.008567371410539603
amazon_videogames,Pop,21,Precision@5,0.006519406752918903
amazon_videogames,Pop,21,nDCG@5,0.012936437445917477
amazon_videogames,Pop,21,Precision@10,0.005845692647522878
amazon_videogames,Pop,21,nDCG@10,0.018037143792722417
amazon_videogames,ALS,42,Precision@1,0.03694997081236294
amazon_videogames,ALS,42,nDCG@1,0.03694997081236294
amazon_videogames,ALS,42,Precision@5,0.025262294306044212
amazon_videogames,ALS,42,nDCG@5,0.051225452434797494
amazon_videogames,ALS,42,Precision@10,0.01980972816054778
amazon_videogames,ALS,42,nDCG@10,0.06486084999136572
amazon_videogames,ItemKNN,42,Precision@1,0.0004890901345786725
amazon_videogames,ItemKNN,42,nDCG@1,0.0004890901345786725
amazon_videogames,ItemKNN,42,Precision@5,0.00051117807614029
amazon_videogames,ItemKNN,42,nDCG@5,0.0009312860986081131
amazon_videogames,ItemKNN,42,Precision@10,0.0005001341053594813
amazon_videogames,ItemKNN,42,nDCG@10,0.0014143986987294771
amazon_videogames,Pop,42,Precision@1,0.00870895981572346
amazon_videogames,Pop,42,nDCG@1,0.00870895981572346
amazon_videogames,Pop,42,Precision@5,0.006620071628039064
amazon_videogames,Pop,42,nDCG@5,0.013319453327998684
amazon_videogames,Pop,42,Precision@10,0.005692378082451131
amazon_videogames,Pop,42,nDCG@10,0.018006290995685383
amazon_videogames,ALS,84,Precision@1,0.03668233883436938
amazon_videogames,ALS,84,nDCG@1,0.03668233883436938
amazon_videogames,ALS,84,Precision@5,0.02483985989713168
amazon_videogames,ALS,84,nDCG@5,0.050260786112146516
amazon_videogames,ALS,84,Precision@10,0.019455050329746613
amazon_videogames,ALS,84,nDCG@10,0.06354375229216819
amazon_videogames,ItemKNN,84,Precision@1,0.0005522072512700767
amazon_videogames,ItemKNN,84,nDCG@1,0.0005522072512700767
amazon_videogames,ItemKNN,84,Precision@5,0.0005585181912845918
amazon_videogames,ItemKNN,84,nDCG@5,0.0010414186263747686
amazon_videogames,ItemKNN,84,Precision@10,0.0005553627212773343
amazon_videogames,ItemKNN,84,nDCG@10,0.001613578121451264
amazon_videogames,Pop,84,Precision@1,0.008945757470575242
amazon_videogames,Pop,84,nDCG@1,0.008945757470575242
amazon_videogames,Pop,84,Precision@5,0.006658041715313496
amazon_videogames,Pop,84,nDCG@5,0.013301607746602327
amazon_videogames,Pop,84,Precision@10,0.005799753873339434
amazon_videogames,Pop,84,nDCG@10,0.018124897730311066
lastfm,ALS,1,Precision@1,0.10825688073394496
lastfm,ALS,1,nDCG@1,0.10825688073394496
lastfm,ALS,1,Precision@5,0.08935779816513761
lastfm,ALS,1,nDCG@5,0.10841388338471983
lastfm,ALS,1,Precision@10,0.0773394495412844
