seed,n_eval_users,n_skipped_users,ndcg@10,precision@10,ndcg@10_mean,ndcg@10_std,precision@10_mean,precision@10_std
1,938,0,0.19743234128192297,0.135181236673774,,,,
2,938,0,0.19716210861340835,0.13763326226012795,,,,
3,938,0,0.21177452984191944,0.14381663113006396,,,,
aggregate,2814,0,,,0.20212299324575025,0.008359567896977567,0.1388770433546553,0.0044500284170169765
